Num,X,Y,Z,timestamp(timeIntervalSince1970)
76,-0.2188338041305542,-1.6520706415176392,0.05546884983778,1652824255.309929
77,-0.20033229887485504,-1.634656548500061,0.04774089157581329,1652824255.3199348
78,-0.21779517829418182,-1.6181925535202026,0.031035946682095528,1652824255.329935
79,-0.250977098941803,-1.5571585893630981,0.012536830268800259,1652824255.3391562
80,-0.2383747547864914,-1.4671021699905396,0.019870378077030182,1652824255.3499498
81,-0.19266586005687714,-1.4143928289413452,-0.010492322035133839,1652824255.3599339
82,-0.15239059925079346,-1.3922936916351318,-0.10495943576097488,1652824255.369975
83,-0.12586233019828796,-1.3745086193084717,-0.16514182090759277,1652824255.379945
84,-0.08815409243106842,-1.3677244186401367,-0.19086022675037384,1652824255.389776
85,-0.030760042369365692,-1.3318982124328613,-0.1884993463754654,1652824255.399674
86,0.029023129492998123,-1.2365056276321411,-0.19192948937416077,1652824255.409315
87,0.09808715432882309,-1.0896813869476318,-0.23715369403362274,1652824255.419513
88,0.1377570629119873,-0.9734857678413391,-0.32030797004699707,1652824255.429563
89,0.12360396236181259,-0.8989564180374146,-0.356144517660141,1652824255.439928
90,0.11600250005722046,-0.8930572271347046,-0.3233293294906616,1652824255.4499168
91,0.12620267271995544,-0.9354510307312012,-0.2724733352661133,1652824255.4599872
92,0.128814697265625,-0.9913321733474731,-0.23327666521072388,1652824255.469938
93,0.11456279456615448,-1.0451085567474365,-0.22425174713134766,1652824255.479887
94,0.09067903459072113,-1.1016911268234253,-0.22757723927497864,1652824255.4899092
95,0.05681854113936424,-1.1596598625183105,-0.2348593771457672,1652824255.499897
96,0.030068686231970787,-1.20076584815979,-0.22781771421432495,1652824255.509976
97,0.005179582163691521,-1.1962817907333374,-0.22418303787708282,1652824255.519949
98,-0.028314461931586266,-1.186798334121704,-0.22348421812057495,1652824255.529931
99,-0.04257994890213013,-1.170449137687683,-0.2282097339630127,1652824255.539116
100,-0.04905728995800018,-1.1655596494674683,-0.24149277806282043,1652824255.549309
101,-0.05449812859296799,-1.1790293455123901,-0.24283847212791443,1652824255.559742
102,-0.052992112934589386,-1.1654202938079834,-0.23088514804840088,1652824255.569814
103,-0.042876627296209335,-1.1542179584503174,-0.20729966461658478,1652824255.5797381
104,-0.024599885568022728,-1.1537692546844482,-0.2041155844926834,1652824255.589931
105,-0.005853894166648388,-1.1339443922042847,-0.23399464786052704,1652824255.599256
106,-0.012744823470711708,-1.1306087970733643,-0.2685092091560364,1652824255.609906
107,-0.04321804270148277,-1.1515223979949951,-0.2790316343307495,1652824255.619944
108,-0.07997898757457733,-1.2287771701812744,-0.26112958788871765,1652824255.629929
109,-0.10481562465429306,-1.3217148780822754,-0.23462742567062378,1652824255.6399999
110,-0.13773709535598755,-1.3737751245498657,-0.2227848768234253,1652824255.649914
111,-0.18121293187141418,-1.3986306190490723,-0.22180749475955963,1652824255.659987
112,-0.21416901051998138,-1.3873045444488525,-0.21918508410453796,1652824255.669931
113,-0.23196372389793396,-1.3671507835388184,-0.21360841393470764,1652824255.679923
114,-0.2177501618862152,-1.3413127660751343,-0.20399095118045807,1652824255.6899118
115,-0.18843968212604523,-1.3075345754623413,-0.18854035437107086,1652824255.699357
116,-0.16522251069545746,-1.2763617038726807,-0.17529591917991638,1652824255.7099938
117,-0.12755689024925232,-1.2670851945877075,-0.16088448464870453,1652824255.719271
118,-0.060744572430849075,-1.2943428754806519,-0.15364788472652435,1652824255.73
119,0.017729729413986206,-1.3457006216049194,-0.14421816170215607,1652824255.73999
120,0.10346540808677673,-1.3771637678146362,-0.1268753856420517,1652824255.7492418
121,0.16704890131950378,-1.3861287832260132,-0.11388129740953445,1652824255.759989
122,0.19185438752174377,-1.3767043352127075,-0.1230766549706459,1652824255.769918
123,0.14814499020576477,-1.3641997575759888,-0.1420695185661316,1652824255.779932
